Order Number,Area Code (Location),Area Code,Budget COGS,Budget Margin,Budget Profit,Budget Sales,Cogs,Date,Inventory,Margin,Market Size,Market,Marketing,Number of Records,Product Id,Product Type,ProductId (Product),Product,Profit,Sales,State,Total Expenses,Type
CC5800,310,310,170,220,160,390,207,1/1/2010 0:00,965,245,Major Market,West,64,1,9,Herbal Tea,9,Lemon,160,452,California,85,Decaf
CC5801,707,707,70,90,60,160,83,1/1/2010 0:00,623,107,Major Market,West,27,1,10,Herbal Tea,10,Mint,67,190,California,40,Decaf
CC5802,719,719,90,130,100,220,89,1/1/2010 0:00,777,130,Major Market,Central,24,1,1,Coffee,1,Amaretto,94,219,Colorado,36,Regular
CC5803,740,740,60,80,50,140,60,1/1/2010 0:00,336,80,Major Market,Central,19,1,1,Coffee,1,Amaretto,34,140,Ohio,46,Regular
CC5804,970,970,80,110,80,190,83,1/1/2010 0:00,623,107,Major Market,Central,27,1,2,Coffee,2,Columbian,68,190,Colorado,39,Regular
CC5805,217,217,150,210,130,360,144,1/1/2010 0:00,862,201,Major Market,Central,47,1,2,Coffee,2,Columbian,111,345,Illinois,90,Regular
CC5806,614,614,60,80,50,140,57,1/1/2010 0:00,364,83,Major Market,Central,18,1,2,Coffee,2,Columbian,42,140,Ohio,41,Regular
CC5807,303,303,60,90,70,150,54,1/1/2010 0:00,456,80,Major Market,Central,15,1,5,Espresso,5,Caffe Mocha,54,134,Colorado,26,Regular
CC5808,309,309,270,370,260,640,234,1/1/2010 0:00,1310,312,Major Market,Central,77,1,5,Espresso,5,Caffe Mocha,203,546,Illinois,109,Regular
CC5809,614,614,190,210,140,400,170,1/1/2010 0:00,1091,171,Major Market,Central,47,1,5,Espresso,5,Caffe Mocha,99,341,Ohio,72,Regular
CC5810,719,719,40,70,20,110,58,1/1/2010 0:00,338,72,Major Market,Central,22,1,11,Tea,11,Darjeeling,17,130,Colorado,55,Regular
CC5811,217,217,40,70,50,110,54,1/1/2010 0:00,456,80,Major Market,Central,15,1,11,Tea,11,Darjeeling,53,134,Illinois,27,Regular
CC5812,567,567,70,110,60,180,84,1/1/2010 0:00,651,126,Major Market,Central,27,1,11,Tea,11,Darjeeling,68,210,Ohio,58,Regular
CC5813,303,303,50,70,40,120,64,1/1/2010 0:00,965,76,Major Market,Central,19,1,12,Tea,12,Earl Grey,36,140,Colorado,40,Regular
CC5814,708,708,60,90,40,150,72,1/1/2010 0:00,558,108,Major Market,Central,23,1,12,Tea,12,Earl Grey,54,180,Illinois,54,Regular
CC5815,216,216,70,100,60,170,84,1/1/2010 0:00,500,116,Major Market,Central,26,1,12,Tea,12,Earl Grey,67,200,Ohio,49,Regular
CC5816,303,303,30,50,30,80,44,1/1/2010 0:00,623,56,Major Market,Central,14,1,13,Tea,13,Green Tea,30,100,Colorado,26,Regular
CC5817,954,954,80,110,70,190,84,1/1/2010 0:00,651,126,Major Market,East,27,1,2,Coffee,2,Columbian,68,210,Florida,58,Regular
CC5818,413,413,60,400,360,460,72,1/1/2010 0:00,558,422,Major Market,East,23,1,2,Coffee,2,Columbian,367,494,Massachusetts,55,Regular
CC5819,716,716,260,380,260,640,271,1/1/2010 0:00,2101,407,Major Market,East,94,1,2,Coffee,2,Columbian,262,678,New York,145,Regular
CC5820,239,239,70,110,30,180,79,1/1/2010 0:00,551,111,Major Market,East,72,1,5,Espresso,5,Caffe Mocha,9,190,Florida,102,Regular
CC5821,781,781,60,60,-10,120,63,1/1/2010 0:00,435,63,Major Market,East,57,1,5,Espresso,5,Caffe Mocha,-23,126,Massachusetts,86,Regular
CC5822,315,315,100,-50,-170,50,105,1/1/2010 0:00,725,-44,Major Market,East,95,1,5,Espresso,5,Caffe Mocha,-172,61,New York,128,Regular
CC5823,978,978,160,170,110,330,170,1/1/2010 0:00,1091,171,Major Market,East,47,1,7,Espresso,7,Regular Espresso,100,341,Massachusetts,71,Regular
CC5824,631,631,210,270,200,480,228,1/1/2010 0:00,1459,262,Major Market,East,63,1,7,Espresso,7,Regular Espresso,175,490,New York,87,Regular
CC5825,954,954,30,50,40,80,32,1/1/2010 0:00,821,48,Major Market,East,8,1,11,Tea,11,Darjeeling,28,80,Florida,20,Regular
CC5826,508,508,30,50,40,80,32,1/1/2010 0:00,821,48,Major Market,East,8,1,11,Tea,11,Darjeeling,29,80,Massachusetts,19,Regular
CC5827,347,347,100,150,120,250,95,1/1/2010 0:00,821,139,Major Market,East,26,1,11,Tea,11,Darjeeling,101,234,New York,38,Regular
CC5828,646,646,90,140,110,230,89,1/1/2010 0:00,777,130,Major Market,East,24,1,12,Tea,12,Earl Grey,94,219,New York,36,Regular
CC5829,754,754,30,50,40,80,33,1/1/2010 0:00,777,48,Major Market,East,9,1,13,Tea,13,Green Tea,28,81,Florida,20,Regular
CC5830,781,781,30,50,40,80,32,1/1/2010 0:00,456,48,Major Market,East,8,1,13,Tea,13,Green Tea,29,80,Massachusetts,19,Regular
CC5831,347,347,50,90,70,140,54,1/1/2010 0:00,456,80,Major Market,East,15,1,13,Tea,13,Green Tea,54,134,New York,26,Regular
CC5832,409,409,260,300,220,560,207,1/1/2010 0:00,965,245,Major Market,South,64,1,2,Coffee,2,Columbian,159,452,Texas,86,Regular
CC5833,830,830,60,90,50,150,72,1/1/2010 0:00,558,108,Major Market,South,23,1,4,Espresso,4,Caffe Latte,53,180,Texas,55,Regular
CC5834,325,325,70,110,90,180,89,1/1/2010 0:00,777,130,Major Market,South,24,1,5,Espresso,5,Caffe Mocha,95,219,Texas,35,Regular
CC5835,916,916,110,70,30,180,95,1/1/2010 0:00,608,50,Major Market,West,30,1,1,Coffee,1,Amaretto,-2,145,California,52,Regular
CC5836,559,559,340,500,370,840,271,1/1/2010 0:00,2101,407,Major Market,West,94,1,2,Coffee,2,Columbian,262,678,California,145,Regular
CC5837,661,661,210,220,150,430,228,1/1/2010 0:00,1459,228,Major Market,West,63,1,4,Espresso,4,Caffe Latte,140,456,California,88,Regular
CC5838,818,818,100,140,20,240,105,1/1/2010 0:00,725,145,Major Market,West,95,1,5,Espresso,5,Caffe Mocha,17,250,California,128,Regular
CC5839,619,619,50,90,80,140,89,1/1/2010 0:00,777,130,Major Market,West,24,1,11,Tea,11,Darjeeling,94,219,California,36,Regular
CC5840,650,650,30,60,60,90,54,1/1/2010 0:00,456,80,Major Market,West,15,1,12,Tea,12,Earl Grey,54,134,California,26,Regular
CC5841,760,760,40,80,50,120,72,1/1/2010 0:00,558,108,Major Market,West,23,1,13,Tea,13,Green Tea,54,180,California,54,Regular
CC5842,712,712,20,30,20,50,23,1/1/2010 0:00,623,31,Small Market,Central,7,1,3,Coffee,3,Decaf Irish Cream,12,54,Iowa,19,Decaf
CC5843,573,573,80,90,50,170,78,1/1/2010 0:00,965,92,Small Market,Central,24,1,3,Coffee,3,Decaf Irish Cream,47,170,Missouri,45,Decaf
CC5844,414,414,80,100,60,180,77,1/1/2010 0:00,432,103,Small Market,Central,25,1,3,Coffee,3,Decaf Irish Cream,51,180,Wisconsin,52,Decaf
CC5845,563,563,10,40,30,50,17,1/1/2010 0:00,777,26,Small Market,Central,4,1,6,Espresso,6,Decaf Espresso,10,43,Iowa,16,Decaf
CC5846,660,660,50,80,60,130,46,1/1/2010 0:00,777,68,Small Market,Central,12,1,6,Espresso,6,Decaf Espresso,45,114,Missouri,23,Decaf
CC5847,262,262,50,70,50,120,48,1/1/2010 0:00,623,62,Small Market,Central,15,1,6,Espresso,6,Decaf Espresso,34,110,Wisconsin,28,Decaf
CC5848,641,641,200,280,200,480,234,1/1/2010 0:00,1310,312,Small Market,Central,77,1,8,Herbal Tea,8,Chamomile,202,546,Iowa,110,Decaf
CC5849,573,573,30,40,0,70,37,1/1/2010 0:00,261,53,Small Market,Central,34,1,8,Herbal Tea,8,Chamomile,-11,90,Missouri,64,Decaf
CC5850,715,715,50,100,80,150,67,1/1/2010 0:00,400,113,Small Market,Central,20,1,8,Herbal Tea,8,Chamomile,70,180,Wisconsin,43,Decaf
CC5851,563,563,80,120,90,200,95,1/1/2010 0:00,608,139,Small Market,Central,30,1,9,Herbal Tea,9,Lemon,86,234,Iowa,53,Decaf
CC5852,314,314,70,10,-20,80,88,1/1/2010 0:00,525,11,Small Market,Central,27,1,9,Herbal Tea,9,Lemon,-39,99,Missouri,50,Decaf
CC5853,715,715,20,50,50,70,33,1/1/2010 0:00,777,48,Small Market,Central,9,1,9,Herbal Tea,9,Lemon,28,81,Wisconsin,20,Decaf
CC5854,475,475,50,70,40,120,55,1/1/2010 0:00,312,75,Small Market,East,18,1,6,Espresso,6,Decaf Espresso,30,130,Connecticut,45,Decaf
CC5855,860,860,60,80,40,140,85,1/1/2010 0:00,494,105,Small Market,East,32,1,9,Herbal Tea,9,Lemon,40,190,Connecticut,65,Decaf
CC5856,603,603,20,30,0,50,34,1/1/2010 0:00,197,42,Small Market,East,12,1,9,Herbal Tea,9,Lemon,-4,76,New Hampshire,46,Decaf
CC5857,475,475,50,80,50,130,78,1/1/2010 0:00,965,92,Small Market,East,24,1,10,Herbal Tea,10,Mint,47,170,Connecticut,45,Decaf
CC5858,985,985,40,60,50,100,33,1/1/2010 0:00,777,48,Small Market,South,9,1,3,Coffee,3,Decaf Irish Cream,28,81,Louisiana,20,Decaf
CC5859,505,505,110,10,-30,120,88,1/1/2010 0:00,525,11,Small Market,South,27,1,3,Coffee,3,Decaf Irish Cream,-39,99,New Mexico,50,Decaf
CC5860,580,580,40,60,50,100,32,1/1/2010 0:00,821,48,Small Market,South,8,1,3,Coffee,3,Decaf Irish Cream,28,80,Oklahoma,20,Decaf
CC5861,337,337,50,70,50,120,61,1/1/2010 0:00,390,89,Small Market,South,19,1,6,Espresso,6,Decaf Espresso,48,150,Louisiana,41,Decaf
CC5862,505,505,30,40,10,70,35,1/1/2010 0:00,196,47,Small Market,South,11,1,6,Espresso,6,Decaf Espresso,9,82,New Mexico,38,Decaf
CC5863,405,405,70,110,70,180,84,1/1/2010 0:00,651,126,Small Market,South,27,1,6,Espresso,6,Decaf Espresso,67,210,Oklahoma,59,Decaf
CC5864,337,337,40,60,40,100,49,1/1/2010 0:00,623,63,Small Market,South,16,1,8,Herbal Tea,8,Chamomile,35,112,Louisiana,28,Decaf
CC5865,505,505,10,30,20,40,18,1/1/2010 0:00,821,27,Small Market,South,5,1,8,Herbal Tea,8,Chamomile,11,45,New Mexico,16,Decaf
CC5866,918,918,50,60,20,110,54,1/1/2010 0:00,312,66,Small Market,South,20,1,8,Herbal Tea,8,Chamomile,13,120,Oklahoma,53,Decaf
CC5867,504,504,80,100,40,180,85,1/1/2010 0:00,494,105,Small Market,South,32,1,9,Herbal Tea,9,Lemon,40,190,Louisiana,65,Decaf
CC5868,505,505,20,40,20,60,28,1/1/2010 0:00,965,34,Small Market,South,8,1,9,Herbal Tea,9,Lemon,4,62,New Mexico,30,Decaf
CC5869,580,580,70,110,30,180,79,1/1/2010 0:00,551,111,Small Market,South,72,1,9,Herbal Tea,9,Lemon,10,190,Oklahoma,101,Decaf
CC5870,775,775,30,40,20,70,28,1/1/2010 0:00,965,34,Small Market,West,8,1,3,Coffee,3,Decaf Irish Cream,4,62,Nevada,30,Decaf
CC5871,971,971,70,100,70,170,57,1/1/2010 0:00,364,83,Small Market,West,18,1,3,Coffee,3,Decaf Irish Cream,42,140,Oregon,41,Decaf
CC5872,801,801,100,130,70,230,85,1/1/2010 0:00,494,105,Small Market,West,32,1,3,Coffee,3,Decaf Irish Cream,39,190,Utah,66,Decaf
CC5873,509,509,90,140,60,230,79,1/1/2010 0:00,551,111,Small Market,West,72,1,3,Coffee,3,Decaf Irish Cream,9,190,Washington,102,Decaf
CC5874,775,775,10,30,20,40,17,1/1/2010 0:00,777,26,Small Market,West,4,1,6,Espresso,6,Decaf Espresso,11,43,Nevada,15,Decaf
CC5875,971,971,160,160,100,320,170,1/1/2010 0:00,1091,171,Small Market,West,47,1,6,Espresso,6,Decaf Espresso,99,341,Oregon,72,Decaf
CC5876,435,435,40,70,50,110,50,1/1/2010 0:00,821,73,Small Market,West,14,1,6,Espresso,6,Decaf Espresso,47,123,Utah,26,Decaf
CC5877,206,206,60,80,60,140,69,1/1/2010 0:00,965,81,Small Market,West,21,1,6,Espresso,6,Decaf Espresso,39,150,Washington,42,Decaf
CC5878,702,702,90,130,30,220,105,1/1/2010 0:00,725,145,Small Market,West,95,1,8,Herbal Tea,8,Chamomile,16,250,Nevada,129,Decaf
CC5879,971,971,30,40,40,70,36,1/1/2010 0:00,777,54,Small Market,West,10,1,8,Herbal Tea,8,Chamomile,33,90,Oregon,21,Decaf
CC5880,801,801,30,50,30,80,38,1/1/2010 0:00,241,55,Small Market,West,12,1,8,Herbal Tea,8,Chamomile,21,93,Utah,34,Decaf
CC5881,206,206,100,170,120,270,124,1/1/2010 0:00,961,186,Small Market,West,40,1,8,Herbal Tea,8,Chamomile,115,310,Washington,71,Decaf
CC5882,775,775,120,180,120,300,144,1/1/2010 0:00,862,201,Small Market,West,47,1,9,Herbal Tea,9,Lemon,111,345,Nevada,90,Decaf
CC5883,503,503,30,50,30,80,44,1/1/2010 0:00,623,56,Small Market,West,14,1,9,Herbal Tea,9,Lemon,29,100,Oregon,27,Decaf
CC5884,435,435,40,60,30,100,48,1/1/2010 0:00,372,72,Small Market,West,15,1,9,Herbal Tea,9,Lemon,25,120,Utah,47,Decaf
CC5885,360,360,20,50,50,70,34,1/1/2010 0:00,777,51,Small Market,West,9,1,9,Herbal Tea,9,Lemon,30,85,Washington,21,Decaf
CC5886,702,702,80,120,90,200,95,1/1/2010 0:00,608,139,Small Market,West,30,1,10,Herbal Tea,10,Mint,86,234,Nevada,53,Decaf
CC5887,435,435,70,10,-30,80,88,1/1/2010 0:00,525,11,Small Market,West,27,1,10,Herbal Tea,10,Mint,-40,99,Utah,51,Decaf
CC5888,319,319,10,30,20,40,18,1/1/2010 0:00,821,27,Small Market,Central,5,1,1,Coffee,1,Amaretto,11,45,Iowa,16,Regular
CC5889,262,262,50,70,30,120,54,1/1/2010 0:00,312,66,Small Market,Central,20,1,1,Coffee,1,Amaretto,13,120,Wisconsin,53,Regular
CC5890,641,641,20,40,20,60,28,1/1/2010 0:00,965,34,Small Market,Central,8,1,2,Coffee,2,Columbian,5,62,Iowa,29,Regular
CC5891,636,636,90,100,40,190,85,1/1/2010 0:00,494,105,Small Market,Central,32,1,2,Coffee,2,Columbian,39,190,Missouri,66,Regular
CC5892,262,262,80,110,20,190,79,1/1/2010 0:00,551,111,Small Market,Central,72,1,2,Coffee,2,Columbian,9,190,Wisconsin,102,Regular
CC5893,563,563,10,40,30,50,17,1/1/2010 0:00,777,26,Small Market,Central,4,1,5,Espresso,5,Caffe Mocha,11,43,Iowa,15,Regular
CC5894,573,573,50,90,70,140,50,1/1/2010 0:00,821,73,Small Market,Central,14,1,5,Espresso,5,Caffe Mocha,48,123,Missouri,25,Regular
CC5895,414,414,80,90,50,170,69,1/1/2010 0:00,965,81,Small Market,Central,21,1,5,Espresso,5,Caffe Mocha,38,150,Wisconsin,43,Regular
CC5896,712,712,190,210,140,400,228,1/1/2010 0:00,1459,228,Small Market,Central,63,1,11,Tea,11,Darjeeling,141,456,Iowa,87,Regular
CC5897,314,314,30,40,10,70,35,1/1/2010 0:00,196,47,Small Market,Central,11,1,11,Tea,11,Darjeeling,9,82,Missouri,38,Regular
CC5898,608,608,50,80,50,130,61,1/1/2010 0:00,390,89,Small Market,Central,19,1,11,Tea,11,Darjeeling,47,150,Wisconsin,42,Regular
CC5899,319,319,210,270,160,480,245,1/1/2010 0:00,1419,301,Small Market,Central,93,1,12,Tea,12,Earl Grey,175,546,Iowa,126,Regular
CC5900,573,573,20,30,-10,50,29,1/1/2010 0:00,169,36,Small Market,Central,11,1,12,Tea,12,Earl Grey,-9,65,Missouri,45,Regular
CC5901,262,262,60,90,10,150,75,1/1/2010 0:00,522,105,Small Market,Central,68,1,12,Tea,12,Earl Grey,7,180,Wisconsin,98,Regular
CC5902,417,417,20,40,0,60,34,1/1/2010 0:00,197,42,Small Market,Central,12,1,13,Tea,13,Green Tea,-4,76,Missouri,46,Regular
CC5903,603,603,30,50,30,80,38,1/1/2010 0:00,241,55,Small Market,East,12,1,1,Coffee,1,Amaretto,20,93,New Hampshire,35,Regular
CC5904,475,475,110,180,130,290,124,1/1/2010 0:00,961,186,Small Market,East,40,1,2,Coffee,2,Columbian,115,310,Connecticut,71,Regular
CC5905,603,603,40,70,40,110,48,1/1/2010 0:00,372,72,Small Market,East,15,1,2,Coffee,2,Columbian,25,120,New Hampshire,47,Regular
CC5906,860,860,70,100,20,170,75,1/1/2010 0:00,522,105,Small Market,East,68,1,5,Espresso,5,Caffe Mocha,7,180,Connecticut,98,Regular
CC5907,603,603,30,50,0,80,37,1/1/2010 0:00,261,53,Small Market,East,34,1,5,Espresso,5,Caffe Mocha,-10,90,New Hampshire,63,Regular
CC5908,603,603,20,40,0,60,29,1/1/2010 0:00,169,36,Small Market,East,11,1,7,Espresso,7,Regular Espresso,-8,65,New Hampshire,44,Regular
CC5909,475,475,50,80,60,130,50,1/1/2010 0:00,821,73,Small Market,East,14,1,11,Tea,11,Darjeeling,47,123,Connecticut,26,Regular
CC5910,603,603,10,30,20,40,18,1/1/2010 0:00,821,27,Small Market,East,5,1,11,Tea,11,Darjeeling,10,45,New Hampshire,17,Regular
CC5911,475,475,40,60,40,100,38,1/1/2010 0:00,777,56,Small Market,East,10,1,13,Tea,13,Green Tea,35,94,Connecticut,21,Regular
CC5912,603,603,10,30,20,40,17,1/1/2010 0:00,777,26,Small Market,East,4,1,13,Tea,13,Green Tea,11,43,New Hampshire,15,Regular
CC5913,225,225,40,60,50,100,34,1/1/2010 0:00,777,51,Small Market,South,9,1,2,Coffee,2,Columbian,30,85,Louisiana,21,Regular
CC5914,505,505,60,90,50,150,48,1/1/2010 0:00,372,72,Small Market,South,15,1,2,Coffee,2,Columbian,26,120,New Mexico,46,Regular
CC5915,580,580,50,70,50,120,44,1/1/2010 0:00,623,56,Small Market,South,14,1,2,Coffee,2,Columbian,29,100,Oklahoma,27,Regular
CC5916,504,504,60,90,10,150,75,1/1/2010 0:00,522,105,Small Market,South,68,1,4,Espresso,4,Caffe Latte,8,180,Louisiana,97,Regular
CC5917,505,505,20,30,0,50,29,1/1/2010 0:00,169,36,Small Market,South,11,1,4,Espresso,4,Caffe Latte,-8,65,New Mexico,44,Regular
CC5918,405,405,70,100,70,170,84,1/1/2010 0:00,500,116,Small Market,South,26,1,4,Espresso,4,Caffe Latte,66,200,Oklahoma,50,Regular
CC5919,337,337,50,100,80,150,67,1/1/2010 0:00,400,113,Small Market,South,20,1,5,Espresso,5,Caffe Mocha,70,180,Louisiana,43,Regular
CC5920,505,505,30,40,-10,70,37,1/1/2010 0:00,261,53,Small Market,South,34,1,5,Espresso,5,Caffe Mocha,-10,90,New Mexico,63,Regular
CC5921,405,405,20,40,40,60,32,1/1/2010 0:00,456,48,Small Market,South,8,1,5,Espresso,5,Caffe Mocha,28,80,Oklahoma,20,Regular
CC5922,541,541,70,110,40,180,63,1/1/2010 0:00,435,87,Small Market,West,57,1,1,Coffee,1,Amaretto,1,150,Oregon,86,Regular
CC5923,801,801,90,120,80,210,78,1/1/2010 0:00,965,92,Small Market,West,24,1,1,Coffee,1,Amaretto,47,170,Utah,45,Regular
CC5924,702,702,40,50,10,90,34,1/1/2010 0:00,197,42,Small Market,West,12,1,2,Coffee,2,Columbian,-3,76,Nevada,45,Regular
CC5925,503,503,80,120,60,200,67,1/1/2010 0:00,400,93,Small Market,West,22,1,2,Coffee,2,Columbian,28,160,Oregon,65,Regular
CC5926,435,435,60,100,70,160,55,1/1/2010 0:00,312,75,Small Market,West,18,1,2,Coffee,2,Columbian,30,130,Utah,45,Regular
CC5927,206,206,60,100,70,160,53,1/1/2010 0:00,338,77,Small Market,West,16,1,2,Coffee,2,Columbian,38,130,Washington,39,Regular
CC5928,775,775,10,30,20,40,17,1/1/2010 0:00,777,26,Small Market,West,4,1,4,Espresso,4,Caffe Latte,11,43,Nevada,15,Regular
CC5929,503,503,50,70,20,120,58,1/1/2010 0:00,338,72,Small Market,West,22,1,4,Espresso,4,Caffe Latte,16,130,Oregon,56,Regular
CC5930,435,435,40,60,40,100,46,1/1/2010 0:00,777,68,Small Market,West,12,1,4,Espresso,4,Caffe Latte,44,114,Utah,24,Regular
CC5931,425,425,40,60,40,100,48,1/1/2010 0:00,623,62,Small Market,West,15,1,4,Espresso,4,Caffe Latte,35,110,Washington,27,Regular
CC5932,702,702,10,30,20,40,18,1/1/2010 0:00,821,27,Small Market,West,5,1,5,Espresso,5,Caffe Mocha,10,45,Nevada,17,Regular
CC5933,503,503,50,80,50,130,60,1/1/2010 0:00,336,80,Small Market,West,19,1,5,Espresso,5,Caffe Mocha,33,140,Oregon,47,Regular
CC5934,435,435,40,60,40,100,49,1/1/2010 0:00,623,63,Small Market,West,16,1,5,Espresso,5,Caffe Mocha,34,112,Utah,29,Regular
CC5935,253,253,50,60,20,110,54,1/1/2010 0:00,312,66,Small Market,West,20,1,5,Espresso,5,Caffe Mocha,13,120,Washington,53,Regular
CC5936,775,775,150,220,150,370,234,1/1/2010 0:00,1310,312,Small Market,West,77,1,11,Tea,11,Darjeeling,203,546,Nevada,109,Regular
CC5937,971,971,20,30,30,50,32,1/1/2010 0:00,456,48,Small Market,West,8,1,11,Tea,11,Darjeeling,28,80,Oregon,20,Regular
CC5938,435,435,20,40,0,60,37,1/1/2010 0:00,261,53,Small Market,West,34,1,11,Tea,11,Darjeeling,-10,90,Utah,63,Regular
CC5939,360,360,40,80,50,120,67,1/1/2010 0:00,400,113,Small Market,West,20,1,11,Tea,11,Darjeeling,70,180,Washington,43,Regular
CC5940,775,775,150,160,100,310,228,1/1/2010 0:00,1459,228,Small Market,West,63,1,12,Tea,12,Earl Grey,141,456,Nevada,87,Regular
CC5941,503,503,50,90,60,140,84,1/1/2010 0:00,651,126,Small Market,West,27,1,12,Tea,12,Earl Grey,68,210,Oregon,58,Regular
CC5942,435,435,20,30,10,50,35,1/1/2010 0:00,196,47,Small Market,West,11,1,12,Tea,12,Earl Grey,9,82,Utah,38,Regular
CC5943,253,253,40,60,40,100,61,1/1/2010 0:00,390,89,Small Market,West,19,1,12,Tea,12,Earl Grey,48,150,Washington,41,Regular
CC5944,702,702,160,-160,-240,0,245,1/1/2010 0:00,1419,-245,Small Market,West,93,1,13,Tea,13,Green Tea,-354,17,Nevada,126,Regular
CC5945,541,541,50,80,50,130,84,1/1/2010 0:00,500,116,Small Market,West,26,1,13,Tea,13,Green Tea,67,200,Oregon,49,Regular
CC5946,435,435,10,30,10,40,29,1/1/2010 0:00,169,36,Small Market,West,11,1,13,Tea,13,Green Tea,-9,65,Utah,45,Regular
CC5947,360,360,40,80,20,120,75,1/1/2010 0:00,522,105,Small Market,West,68,1,13,Tea,13,Green Tea,8,180,Washington,97,Regular
